goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	boundsCode	boundsDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2000	value_numeric_part_2000	value_is_censored_2000	value_detail_2000	nature_2001	value_numeric_part_2001	value_is_censored_2001	value_detail_2001	nature_2002	value_numeric_part_2002	value_is_censored_2002	value_detail_2002	nature_2003	value_numeric_part_2003	value_is_censored_2003	value_detail_2003	nature_2004	value_numeric_part_2004	value_is_censored_2004	value_detail_2004	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	nature_2017	value_numeric_part_2017	value_is_censored_2017	value_detail_2017	nature_2018	value_numeric_part_2018	value_is_censored_2018	value_detail_2018	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	_T	Mid-point																																																																																									
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	LB	Lower bound																																																																																									
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	UB	Upper bound																																																																																									
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	_T	Mid-point	PERCENT	Percentage			G	Global		[2000-2018]: BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C : Country data	5.61277	False	5.61277	C : Country data	5.61277	False	5.61277	C : Country data	5.61277	False	5.61277	C : Country data	11.77256	False	11.77256	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	51.17848	False	51.17848	C : Country data	51.17848	False	51.17848	C : Country data	51.17848	False	51.17848	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	60.06879	False	60.06879	2018
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	LB	Lower bound	PERCENT	Percentage			G	Global		[2000-2018]: BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C : Country data	5.61277	False	5.61277	C : Country data	5.61277	False	5.61277	C : Country data	5.61277	False	5.61277	C : Country data	11.77256	False	11.77256	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	51.17848	False	51.17848	C : Country data	51.17848	False	51.17848	C : Country data	51.17848	False	51.17848	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	60.06879	False	60.06879	2018
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	UB	Upper bound	PERCENT	Percentage			G	Global		[2000-2018]: BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C : Country data	5.61277	False	5.61277	C : Country data	5.61277	False	5.61277	C : Country data	5.61277	False	5.61277	C : Country data	11.77256	False	11.77256	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	11.7752	False	11.7752	C : Country data	51.17848	False	51.17848	C : Country data	51.17848	False	51.17848	C : Country data	51.17848	False	51.17848	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	C : Country data	60.06879	False	60.06879	60.06879	False	60.06879	2018
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	_T	Mid-point																																																																																									
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	LB	Lower bound																																																																																									
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	UB	Upper bound																																																																																									
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	_T	Mid-point	PERCENT	Percentage			G	Global		[2000-2018]: BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C : Country data	4.97138	False	4.97138	C : Country data	4.97138	False	4.97138	C : Country data	4.97138	False	4.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	C : Country data	29.97138	False	29.97138	29.97138	False	29.97138	2018
