goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	sexCode	sexDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data							249.0	249.0	242.0	242.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	249.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	155.0	155.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	_T	Both sexes																																
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	380.0	380.0	380.0	389.0	389.0	389.0	389.0	389.0	389.0	389.0	389.0	389.0	389.0	462.0	462.0	462.0	462.0	462.0	462.0	462.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	_T	Both sexes																																
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	18.0	18.0	18.0	18.0	18.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	125.0	125.0	124.0	124.0	124.0	124.0	125.0	124.0	123.0	123.0	123.0	125.0	125.0	125.0	122.0	122.0	124.0	125.0	125.0	125.0	2018
5	5.5	5.5.1	SG_GEN_PARLNT	Number of seats in national parliaments (number)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	_T	Both sexes	NUMBER	Number			G	Global		Annual data as of 1 Feb of given year.	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.		C: Country data	257.0	257.0	257.0	257.0	257.0	255.0	257.0	257.0	255.0	255.0	257.0	257.0	257.0	257.0	257.0	257.0	257.0	257.0	257.0	257.0	2018
