topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1975	value_1985	value_1995	value_1996	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	US dollars	6.0		Millions			[2014-2016]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018.	[2014-2016]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès May 2018.														15.88	12.96	13.43		13.43	2016
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	US dollars	6.0																									
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations	SYB097	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	US dollars	6.0		Millions	Development Assistance Committee member (OECD). [2017]: Provisional data.	Le Comité d’aide au développement (l’OCDE). [2017]: Estimation partielle.	Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès May 2018.	551.68	748.72	1194.34	1074.38	1680.16	2123.22	2668.52	2954.07	2761.61	3826.1	4982.91	5402.7	4845.55	4382.42	3493.61	3277.52	2957.14	2957.14	2017
