goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	190.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	189.0	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	22.0	20.0	22.0	21.0	20.0	19.0	18.0	17.0	16.0	17.0	17.0	17.0	16.0	19.0	16.0	16.0	16.0	20.0	20.0	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																																
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	74.0	72.0	74.0	76.0	76.0	80.0	78.0	78.0	74.0	76.0	77.0	73.0	73.0	67.0	72.0	74.0	70.0	70.0	70.0	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	6.0	5.9	3.9	5.8	9.7	12.0	7.8	6.0	6.0	8.2	8.3	6.2	6.7	7.3	7.8	8.3	9.3	10.0	10.0	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	21.0	17.0	8.2	17.0	11.0	15.0	17.0	7.0	5.5	11.0	9.5	4.1	13.0	7.1	8.7	5.9	6.0	1.5	1.5	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	297.0	308.0	320.0	334.0	350.0	368.0	377.0	379.0	382.0	385.0	384.0	383.0	380.0	376.0	370.0	366.0	362.0	359.0	359.0	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	5.5	1.4	5.3	1.3	5.1	7.7	5.1	2.5	1.2	3.7	8.5	7.2	3.6	12.0	3.5	4.4	3.4	1.1	1.1	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	80.0	75.0	78.0	57.0	80.0	88.0	83.0	79.0	108.0	133.0	104.0	125.0	86.0	78.0	76.0	71.0	66.0	67.0	67.0	2017
3	3.3	3.3.2	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		PER_100000_POP	Per 100,000 population			G	Global		Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report	WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/)		E: Estimated data	37.0	35.0	35.0	33.0	34.0	31.0	28.0	29.0	26.0	22.0	20.0	27.0	24.0	24.0	25.0	25.0	27.0	26.0	26.0	2017
